"X","group","key","count"
609,"ASO_GF","Gene_609",5.828555
610,"ASO_GF","Gene_610",1.927295
611,"ASO_GF","Gene_611",0.23553
612,"ASO_GF","Gene_612",0
613,"ASO_GF","Gene_613",1.29673
614,"ASO_GF","Gene_614",5.754675
615,"ASO_GF","Gene_615",11.6765
616,"ASO_GF","Gene_616",1.02563
617,"ASO_GF","Gene_617",5.10727
618,"ASO_GF","Gene_618",4.660615
619,"ASO_GF","Gene_619",9.59015
620,"ASO_GF","Gene_620",3.764355
621,"ASO_GF","Gene_621",2.283115
622,"ASO_GF","Gene_622",3.07119
623,"ASO_GF","Gene_623",1.81317
624,"ASO_GF","Gene_624",0
625,"ASO_GF","Gene_625",0.3464095
626,"ASO_GF","Gene_626",0.4777335
627,"ASO_GF","Gene_627",1.492825
628,"ASO_GF","Gene_628",0.02340765
629,"ASO_GF","Gene_629",0
630,"ASO_GF","Gene_630",1.34047
631,"ASO_GF","Gene_631",0
632,"ASO_GF","Gene_632",0
633,"ASO_GF","Gene_633",0.5886855
634,"ASO_GF","Gene_634",4.0472
635,"ASO_GF","Gene_635",4.68427
636,"ASO_GF","Gene_636",0
637,"ASO_GF","Gene_637",0
638,"ASO_GF","Gene_638",11.6095
639,"ASO_GF","Gene_639",0.262674
640,"ASO_GF","Gene_640",2.395125
641,"ASO_GF","Gene_641",0
642,"ASO_GF","Gene_642",1.237335
643,"ASO_GF","Gene_643",0.4647775
644,"ASO_GF","Gene_644",8.156695
645,"ASO_GF","Gene_645",2.520935
646,"ASO_GF","Gene_646",17.0709
647,"ASO_GF","Gene_647",1.078818
648,"ASO_GF","Gene_648",0
649,"ASO_GF","Gene_649",58.4264
650,"ASO_GF","Gene_650",1.369
651,"ASO_GF","Gene_651",0
652,"ASO_GF","Gene_652",1.38623
653,"ASO_GF","Gene_653",0.6851835
654,"ASO_GF","Gene_654",0.3145465
655,"ASO_GF","Gene_655",53.2894
656,"ASO_GF","Gene_656",6.319745
657,"ASO_GF","Gene_657",0.8679225
658,"ASO_GF","Gene_658",15.91245
659,"ASO_GF","Gene_659",0.878377
660,"ASO_GF","Gene_660",0
661,"ASO_GF","Gene_661",20.6507
662,"ASO_GF","Gene_662",1.707885
663,"ASO_GF","Gene_663",0.4935935
664,"ASO_GF","Gene_664",9.536125
665,"ASO_GF","Gene_665",0.5487045
666,"ASO_GF","Gene_666",16.16075
667,"ASO_GF","Gene_667",6.192935
668,"ASO_GF","Gene_668",6.388415
669,"ASO_GF","Gene_669",0.5374055
670,"ASO_GF","Gene_670",5.67758
671,"ASO_GF","Gene_671",1.370375
672,"ASO_GF","Gene_672",3.904005
673,"ASO_GF","Gene_673",0
674,"ASO_GF","Gene_674",0.366693
675,"ASO_GF","Gene_675",5.746185
676,"ASO_GF","Gene_676",0
677,"ASO_GF","Gene_677",0
678,"ASO_GF","Gene_678",0.603931
679,"ASO_GF","Gene_679",0
680,"ASO_GF","Gene_680",1.329151
681,"ASO_GF","Gene_681",0.613117
682,"ASO_GF","Gene_682",4.36549
683,"ASO_GF","Gene_683",54.07195
684,"ASO_GF","Gene_684",0.656393
685,"ASO_GF","Gene_685",64.22575
686,"ASO_GF","Gene_686",0
687,"ASO_GF","Gene_687",1.31052
688,"ASO_GF","Gene_688",1.07588
689,"ASO_GF","Gene_689",12.57405
690,"ASO_GF","Gene_690",0
691,"ASO_GF","Gene_691",4.58987
692,"ASO_GF","Gene_692",0
693,"ASO_GF","Gene_693",1.306183
694,"ASO_GF","Gene_694",5.3489
695,"ASO_GF","Gene_695",29.436
696,"ASO_GF","Gene_696",1.701515
697,"ASO_GF","Gene_697",0
698,"ASO_GF","Gene_698",10.90355
699,"ASO_GF","Gene_699",37.09325
700,"ASO_GF","Gene_700",0
701,"ASO_GF","Gene_701",3230.72
702,"ASO_GF","Gene_702",1.77061
703,"ASO_GF","Gene_703",3.18691
704,"ASO_GF","Gene_704",0
705,"ASO_GF","Gene_705",4.336915
706,"ASO_GF","Gene_706",135
707,"ASO_GF","Gene_707",0.8143075
708,"ASO_GF","Gene_708",0.205577
709,"ASO_GF","Gene_709",3.74463
710,"ASO_GF","Gene_710",0
711,"ASO_GF","Gene_711",1.43688
712,"ASO_GF","Gene_712",1.1243
713,"ASO_GF","Gene_713",6.01844
714,"ASO_GF","Gene_714",0
715,"ASO_GF","Gene_715",0
716,"ASO_GF","Gene_716",2.552035
717,"ASO_GF","Gene_717",1.221855
718,"ASO_GF","Gene_718",32.98425
719,"ASO_GF","Gene_719",2.90104
720,"ASO_GF","Gene_720",36.5446
